sample-id,score,group
ERR1077897,0.6887,NORMAL
ERR1077901,0.7292,OTHER
ERR1077917,0.8207,OTHER
ERR1077923,0.8115,OTHER
ERR1077928,0.8589,OTHER
ERR1077940,0.6622,NORMAL
ERR1077947,0.7432,OTHER
ERR1077948,0.8233,OTHER
ERR1077950,0.7675,OTHER
ERR1077951,0.798,OTHER
ERR1077968,0.7282,OTHER
ERR1077972,0.8381,OTHER
ERR1077975,0.7349,OTHER
ERR1077990,0.6442,NORMAL
ERR1077991,0.7113,NORMAL
ERR1077992,0.6734,NORMAL
ERR1077995,0.8256,OTHER
ERR1077998,0.7042,NORMAL
ERR1078007,0.8167,OTHER
ERR1078008,0.848,OTHER
ERR1078012,0.862,OTHER
ERR1078014,0.5853,NORMAL
ERR1078024,0.6725,NORMAL
ERR1078034,0.7383,OTHER
ERR1078045,0.7098,NORMAL
ERR1078046,0.6563,NORMAL
ERR1078047,0.7659,OTHER
ERR1078049,0.7201,NORMAL
ERR1078054,0.78,OTHER
ERR1078057,0.6027,NORMAL
ERR1078065,0.6594,NORMAL
ERR1078076,0.6411,NORMAL
ERR1078079,0.6727,NORMAL
ERR1078080,0.8538,OTHER
ERR1078081,0.676,NORMAL
ERR1078083,0.8153,OTHER
ERR1078087,0.7335,OTHER
ERR1078090,0.7091,NORMAL
ERR1078092,0.7842,OTHER
ERR1078093,0.6841,NORMAL
ERR1078096,0.6584,NORMAL
ERR1078097,0.7241,NORMAL
ERR1078106,0.713,NORMAL
ERR1078107,0.5923,NORMAL
ERR1078119,0.7837,OTHER
ERR1078124,0.762,OTHER
ERR1078126,0.7356,OTHER
ERR1078133,0.9769,DEVIANT
ERR1078145,0.8747,OTHER
ERR1078147,0.7901,OTHER
ERR1078153,0.66,NORMAL
ERR1078154,0.6439,NORMAL
ERR1078158,0.6913,NORMAL
ERR1078163,0.7379,OTHER
ERR1078168,0.8,OTHER
ERR1078174,0.7324,OTHER
ERR1078176,0.7047,NORMAL
ERR1078185,0.7104,NORMAL
ERR1078198,0.7491,OTHER
ERR1078199,0.6532,NORMAL
ERR1078206,0.8077,OTHER
ERR1078208,0.7322,OTHER
ERR1078235,0.641,NORMAL
ERR1078239,0.6061,NORMAL
ERR1078663,0.6634,NORMAL
ERR1078683,0.6895,NORMAL
ERR1079922,0.6894,NORMAL
ERR1079933,0.7422,OTHER
ERR1079946,0.7411,OTHER
ERR1079955,0.633,NORMAL
ERR1079961,0.7899,OTHER
ERR1079962,0.7258,NORMAL
ERR1079972,0.6999,NORMAL
ERR1079976,0.8632,OTHER
ERR1079977,0.6878,NORMAL
ERR1080021,0.6617,NORMAL
ERR1080028,0.838,OTHER
ERR1080036,0.7298,OTHER
ERR1080040,0.8116,OTHER
ERR1080051,0.6465,NORMAL
ERR1080056,0.6181,NORMAL
ERR1080065,0.7478,OTHER
ERR1080079,0.8068,OTHER
ERR1080095,0.6934,NORMAL
ERR1080107,0.7254,NORMAL
ERR1080147,0.67,NORMAL
ERR1080167,0.8783,OTHER
ERR1080173,0.6475,NORMAL
ERR1080179,0.6673,NORMAL
ERR1080192,0.6934,NORMAL
ERR1080194,0.6535,NORMAL
ERR1080204,0.7456,OTHER
ERR1080215,0.8557,OTHER
ERR1080232,0.6449,NORMAL
ERR1080235,0.6393,NORMAL
ERR1080244,0.8002,OTHER
ERR1080246,0.7212,NORMAL
ERR1080251,0.6693,NORMAL
ERR1080252,0.7464,OTHER
ERR1080263,0.699,NORMAL
ERR1080271,0.6014,NORMAL
ERR1080276,0.7153,NORMAL
ERR1080286,0.6287,NORMAL
ERR1080292,0.7488,OTHER
ERR1080312,0.8103,OTHER
ERR1080314,0.8034,OTHER
ERR1080317,0.728,OTHER
ERR1080318,0.6723,NORMAL
ERR1080322,0.6042,NORMAL
ERR1080327,0.6177,NORMAL
ERR1080372,0.7802,OTHER
ERR1080373,0.6523,NORMAL
ERR1080374,0.6264,NORMAL
ERR1080378,0.7249,NORMAL
ERR1080379,0.6464,NORMAL
ERR1080385,0.8488,OTHER
ERR1080388,0.6873,NORMAL
ERR1080393,0.7126,NORMAL
ERR1080395,0.7547,OTHER
ERR1080411,0.784,OTHER
ERR1080412,0.8054,OTHER
ERR1080418,0.7587,OTHER
ERR1089680,0.7063,NORMAL
ERR1089683,0.7146,NORMAL
ERR1089688,0.7251,NORMAL
ERR1089696,0.7361,OTHER
ERR1089705,0.7103,NORMAL
ERR1089707,0.8061,OTHER
